            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457217.500000000, A.D. 2015-Jul-14 00:00:00.0000, -5.464149803828955E+07,  1.419231224923169E+08, -9.982827608458698E+03, -2.773477271854266E+01, -1.061117830862075E+01,  9.811463518691887E-03,  5.072792280261333E+02,  1.520784866622970E+08,  6.245375314260287E-02,
2457218.500000000, A.D. 2015-Jul-15 00:00:00.0000, -5.699485395829971E+07,  1.409880137472478E+08, -9.946646934814751E+03, -2.755218281149717E+01, -1.108162612437088E+01,  1.286187317803922E-02,  5.072591297039340E+02,  1.520724613368832E+08,  5.231750184445818E-02,
2457219.500000000, A.D. 2015-Jul-16 00:00:00.0000, -5.933211424237614E+07,  1.400129489903600E+08, -9.887372994452715E+03, -2.736118986744973E+01, -1.154886003575488E+01,  1.589864805303520E-02,  5.072360130808215E+02,  1.520655311476196E+08,  4.213403718580010E-02,
2457220.500000000, A.D. 2015-Jul-17 00:00:00.0000, -6.165256808281741E+07,  1.389982159293645E+08, -9.806370994299650E+03, -2.716191021093784E+01, -1.201263421058137E+01,  1.890964809285123E-02,  5.072098818569469E+02,  1.520576972037838E+08,  3.200501724559917E-02,
2457221.500000000, A.D. 2015-Jul-18 00:00:00.0000, -6.395551568448013E+07,  1.379441222610171E+08, -9.705894293643534E+03, -2.695448134271911E+01, -1.247272836479669E+01,  2.188484459018891E-02,  5.071807674075926E+02,  1.520489689114484E+08,  2.201906011798719E-02,
2457222.500000000, A.D. 2015-Jul-19 00:00:00.0000, -6.624026971980450E+07,  1.368509934142688E+08, -9.588895334191620E+03, -2.673905348527482E+01, -1.292894838128764E+01,  2.481643574929748E-02,  5.071487246751490E+02,  1.520393627419282E+08,  1.224976966538620E-02,
2457223.500000000, A.D. 2015-Jul-20 00:00:00.0000, -6.850615610923703E+07,  1.357191703662459E+08, -9.458838282980025E+03, -2.651578261550926E+01, -1.338112415248525E+01,  2.769870416884057E-02,  5.071138278405745E+02,  1.520289009341147E+08,  2.756138296728186E-03,
2457224.500000000, A.D. 2015-Jul-21 00:00:00.0000, -7.075251429818156E+07,  1.345490077265691E+08, -9.319531967468560E+03, -2.628482587411058E+01, -1.382910573916377E+01,  3.052770657324899E-02,  5.070761663966441E+02,  1.520176103172669E+08, -6.415184194565023E-03,
2457225.500000000, A.D. 2015-Jul-22 00:00:00.0000, -7.297869725146718E+07,  1.333408721793082E+08, -9.174992523998022E+03, -2.604633960848229E+01, -1.427275914878907E+01,  3.330091419798098E-02,  5.070358420450065E+02,  1.520055213807723E+08, -1.522659192259875E-02,
2457226.500000000, A.D. 2015-Jul-23 00:00:00.0000, -7.518407138347273E+07,  1.320951412628709E+08, -9.029335361681879E+03, -2.580047975410815E+01, -1.471196291709046E+01,  3.601690984398775E-02,  5.069929665837353E+02,  1.519926676408499E+08, -2.364609747966782E-02,
2457227.500000000, A.D. 2015-Jul-24 00:00:00.0000, -7.736801659848359E+07,  1.308122023757168E+08, -8.886687468685210E+03, -2.554740386407678E+01, -1.514660643348092E+01,  3.867523172346399E-02,  5.069476606958416E+02,  1.519790852773563E+08, -3.164464086426443E-02,
